,cp_name
0,라이온코리아(주)
1,삼성전기(주) 수원사업장
2,삼성전기(주) 부산사업장
3,삼성전기(주) 세종사업장
4,(주)한독 음성공장
5,(주)풍산
6,(주)풍산 안강사업장
7,(주)풍산 울산사업장
8,현대자동차(주) 본사
9,현대자동차 서비스센터
10,현대자동차 아산공장
11,현대자동차 연구시설
12,현대자동차 울산공장
13,현대자동차 전주공장
14,(주)필맥스
15,롯데알미늄 본사
16,롯데알미늄 안산1공장
17,롯데알미늄 진천공장
18,롯데알미늄 평택공장
19,LG이노텍 본사
20,LG이노텍 광주사업장
21,"LG이노텍 구미 2,3사업장"
22,"LG이노텍 구미1,1A사업장"
23,LG이노텍 마곡R&D캠퍼스
24,LG이노텍 안산R&D캠퍼스
25,LG이노텍 파주사업장
26,LG이노텍 평택사업장
27,LG이노텍_구미4(C4) 사업장
28,기아 주식회사
29,기아 주식회사 광명공장
30,기아 주식회사 광주완성차공장
31,기아 주식회사 광주하남공장
32,기아 주식회사 화성공장
33,(주)유니드
34,(주)유니드-화학_울산공장 
35,한화솔루션(주)
36,한화솔루션(주) 여수
37,한화솔루션(주) 여수2
38,한화솔루션(주) 울산1
39,한화솔루션(주) 울산2
40,한화솔루션(주) 울산3
41,한화솔루션(주) 중앙연구소
42,한화솔루션(주) 티디아이
43,한화솔루션㈜ 음성 제2사업장
44,한화솔루션㈜ 진천사업장
45,주식회사 전주페이퍼 (전주)
46,고려아연(주)
47,고려아연(주)온산제련소
48,현대위아(주) 창원1공장
49,현대위아(주) 광주공장
50,현대위아(주) 서산공장
51,현대위아(주) 안산1공장
52,현대위아(주) 안산2공장
53,현대위아(주) 울산1공장
54,현대위아(주) 울산3공장
55,현대위아(주) 의왕연구소
56,현대위아(주) 창원2공장
57,현대위아(주) 창원4공장
58,현대위아(주) 창원5공장
59,현대위아(주) 평택공장
60,현대위아(주)창원3공장
61,(주)어프로티움 울산 1공장
62,(주)어프로티움 서산공장
63,(주)어프로티움 울산 2공장
64,LS ELECTRIC 본사
65,LS일렉트릭 부산공장
66,LS일렉트릭 천안사업장
67,LS일렉트릭 청주사업장
68,(주)오뚜기센터
69,(주)오뚜기 대풍공장
70,(주)오뚜기 삼남공장
71,(주)오뚜기 안양공장
72,(주)오뚜기 포승공장
73,재원산업
74,해태htb(주)천안공장
75,(주)풍정주공 본사
76,이녹스첨단소재
77,에이치디현대일렉트릭(주)
78,에이치디현대일렉트릭(주) 선암공장
79,(주)한영특수강
80,한국앤컴퍼니(주)
81,한국앤컴퍼니(주) 대전공장
82,한국앤컴퍼니(주) 전주공장
83,(주)원익아이피에스
84,삼화페인트공업(주) 대표사업
85,(주)지씨셀
86,(주)동인섬유
87,한국지엠(주) 부평공장 (본사)
88,한국지엠(주) 보령공장
89,한국지엠(주) 창원공장
90,ROHMKOREA 대전공장
91,롯데정밀화학(주)
92,롯데정밀화학(주) 인천
93,(주)휴비스 전주공장
94,(주)휴비스
95,코카콜라음료(주) 여주공장
96,코카콜라음료(주) 광주공장
97,삼성전자(주) 수원사업장
98,삼성전자(주) CS아카데미
99,삼성전자(주) SAIT
100,삼성전자(주) 광주2사업장
101,삼성전자(주) 구미사업장
102,삼성전자(주) 기흥사업장
103,삼성전자(주) 서울R&D
104,삼성전자(주) 서울대공동연구소
105,삼성전자(주) 서초사옥
106,삼성전자(주) 온양사업장
107,삼성전자(주) 인재개발원
108,삼성전자(주) 천안사업장(TP)
109,삼성전자(주) 평택사업장
110,삼성전자(주) 하남사업장
111,삼성전자(주) 화성사업장
112,(주)엘엑스엠엠에이
113,(주)엘엑스엠엠에이 MMA2공장
114,(주)엘엑스엠엠에이 피엠엠에이
115,셰플러코리아 유한책임회사 창원1공장
116,셰플러코리아 유한책임회사 전주공장
117,셰플러코리아 유한책임회사 창원2공장
118,셰플러코리아 유한책임회사 창원3공장
119,한화임팩트주식회사 울산사업장
120,한화임팩트주식회사 대산사업장
121,스템코(주)
122,라이온코리아(주)
123,금호미쓰이화학(주)
124,삼성전기(주) 수원사업장
125,삼성전기(주) 부산사업장
126,삼성전기(주) 세종사업장
127,SK하이닉스(주) 이천본사
128,SK하이닉스(주) 분당사업장
129,SK하이닉스(주) 청주사업장
130,DL케미칼(주)HDPE공장
131,DL케미칼(주) 본사 사옥(돈의문센터)
132,DL케미칼(주)여수C4공장
133,DL케미칼(주)여수LHDPE공장
134,DL케미칼(주)여수PB공장
135,온세미컨덕터코리아(주)
136,한화토탈(주)
137,(주)한독 음성공장
138,한온시스템(주) 대전공장
139,한온시스템(주) 평택공장
140,한온시스템(주)_울산공장
141,볼보그룹코리아(주)
142,롯데이네오스화학
143,도레이첨단소재(주)
144,도레이첨단소재(주)_구미2공장
145,도레이첨단소재(주)_구미5공장
146,도레이첨단소재(주)_안성공장
147,도레이첨단소재(주)_유구공장
148,도레이첨단소재(주)구미1공장
149,도레이첨단소재(주)구미4공장
150,도레이첨단소재(주)군산공장
151,(주)국순당 횡성공장
152,(주)DB하이텍 부천공장
153,(주)DB하이텍 상우공장
154,동서석유화학(주)
155,서울우유협동조합 안산공장
156,서울우유협동조합 거창공장
157,서울우유협동조합 양주신공장
158,(주)엠에스씨
159,(주)디비메탈
160,(주)디비메탈 동해공장
161,르노코리아자동차 주식회사(부산공장)
162,르노코리아자동차 기흥연구소
163,르노코리아자동차 영업본부
164,한국타이어앤테크놀로지(주) 본사
165,한국타이어앤테크놀로지(주) 금산공장
166,한국타이어앤테크놀로지(주) 대전공장
167,한국타이어앤테크놀로지(주) 생산기술연구소
168,한국테크노돔
169,넥센타이어(주) 양산공장
170,넥센타이어(주) 창녕공장
171,SK케미칼(본사)
172,SK케미칼 울산
173,SK케미칼 청주
174,에이치디현대인프라코어 인천공장
175,에이치디현대인프라코어 군산공장
176,영화금속(주)
177,영화금속(주)_함안공장
178,영화금속(주)제2공장
179,현대제철
180,현대제철 당진제철소
181,현대제철 순천공장
182,현대제철 예산2공장
183,현대제철 예산공장
184,현대제철 울산 대구경공장
185,현대제철 울산공장
186,현대제철 인천공장
187,현대제철 포항공장
188,현대제철_포항2공장
189,대한제당(주)
190,대한제당(주)인천사료
191,태광산업(주)
192,태광산업(주) 반여공장
193,태광산업(주) 석유화학 1공장
194,태광산업(주) 석유화학 2공장
195,태광산업(주) 석유화학 3공장
196,태광산업(주) 울산공장
197,태광산업(주)대구사업소
198,(주)케이씨씨
199,(주)케이씨씨 김천공장
200,라이온코리아(주)
201,삼성전기(주) 수원사업장
202,삼성전기(주) 부산사업장
203,삼성전기(주) 세종사업장
204,(주)한독 음성공장
205,(주)풍산
206,(주)풍산 안강사업장
207,(주)풍산 울산사업장
208,현대자동차(주) 본사
209,현대자동차 서비스센터
210,현대자동차 아산공장
211,현대자동차 연구시설
212,현대자동차 울산공장
213,현대자동차 전주공장
214,(주)필맥스
215,롯데알미늄 본사
216,롯데알미늄 안산1공장
217,롯데알미늄 진천공장
218,롯데알미늄 평택공장
219,LG이노텍 본사
220,LG이노텍 광주사업장
221,"LG이노텍 구미 2,3사업장"
222,"LG이노텍 구미1,1A사업장"
223,LG이노텍 마곡R&D캠퍼스
224,LG이노텍 안산R&D캠퍼스
225,LG이노텍 파주사업장
226,LG이노텍 평택사업장
227,LG이노텍_구미4(C4) 사업장
228,기아 주식회사
229,기아 주식회사 광명공장
230,기아 주식회사 광주완성차공장
231,기아 주식회사 광주하남공장
232,기아 주식회사 화성공장
233,(주)유니드
234,(주)유니드-화학_울산공장 
235,한화솔루션(주)
236,한화솔루션(주) 여수
237,한화솔루션(주) 여수2
238,한화솔루션(주) 울산1
239,한화솔루션(주) 울산2
240,한화솔루션(주) 울산3
241,한화솔루션(주) 중앙연구소
242,한화솔루션(주) 티디아이
243,한화솔루션㈜ 음성 제2사업장
244,한화솔루션㈜ 진천사업장
245,주식회사 전주페이퍼 (전주)
246,고려아연(주)
247,고려아연(주)온산제련소
248,현대위아(주) 창원1공장
249,현대위아(주) 광주공장
250,현대위아(주) 서산공장
251,현대위아(주) 안산1공장
252,현대위아(주) 안산2공장
253,현대위아(주) 울산1공장
254,현대위아(주) 울산3공장
255,현대위아(주) 의왕연구소
256,현대위아(주) 창원2공장
257,현대위아(주) 창원4공장
258,현대위아(주) 창원5공장
259,현대위아(주) 평택공장
260,현대위아(주)창원3공장
261,(주)어프로티움 울산 1공장
262,(주)어프로티움 서산공장
263,(주)어프로티움 울산 2공장
264,LS ELECTRIC 본사
265,LS일렉트릭 부산공장
266,LS일렉트릭 천안사업장
267,LS일렉트릭 청주사업장
268,(주)오뚜기센터
269,(주)오뚜기 대풍공장
270,(주)오뚜기 삼남공장
271,(주)오뚜기 안양공장
272,(주)오뚜기 포승공장
273,재원산업
274,해태htb(주)천안공장
275,(주)풍정주공 본사
276,이녹스첨단소재
277,에이치디현대일렉트릭(주)
278,에이치디현대일렉트릭(주) 선암공장
279,(주)한영특수강
280,한국앤컴퍼니(주)
281,한국앤컴퍼니(주) 대전공장
282,한국앤컴퍼니(주) 전주공장
283,(주)원익아이피에스
284,삼화페인트공업(주) 대표사업
285,(주)지씨셀
286,(주)동인섬유
287,한국지엠(주) 부평공장 (본사)
288,한국지엠(주) 보령공장
289,한국지엠(주) 창원공장
290,ROHMKOREA 대전공장
291,롯데정밀화학(주)
292,롯데정밀화학(주) 인천
293,(주)휴비스 전주공장
294,(주)휴비스
295,코카콜라음료(주) 여주공장
296,코카콜라음료(주) 광주공장
297,삼성전자(주) 수원사업장
298,삼성전자(주) CS아카데미
299,삼성전자(주) SAIT
300,삼성전자(주) 광주2사업장
301,삼성전자(주) 구미사업장
302,삼성전자(주) 기흥사업장
303,삼성전자(주) 서울R&D
304,삼성전자(주) 서울대공동연구소
305,삼성전자(주) 서초사옥
306,삼성전자(주) 온양사업장
307,삼성전자(주) 인재개발원
308,삼성전자(주) 천안사업장(TP)
309,삼성전자(주) 평택사업장
310,삼성전자(주) 하남사업장
311,삼성전자(주) 화성사업장
312,(주)엘엑스엠엠에이
313,(주)엘엑스엠엠에이 MMA2공장
314,(주)엘엑스엠엠에이 피엠엠에이
315,셰플러코리아 유한책임회사 창원1공장
316,셰플러코리아 유한책임회사 전주공장
317,셰플러코리아 유한책임회사 창원2공장
318,셰플러코리아 유한책임회사 창원3공장
319,한화임팩트주식회사 울산사업장
320,한화임팩트주식회사 대산사업장
321,스템코(주)
322,라이온코리아(주)
323,금호미쓰이화학(주)
324,삼성전기(주) 수원사업장
325,삼성전기(주) 부산사업장
326,삼성전기(주) 세종사업장
327,SK하이닉스(주) 이천본사
328,SK하이닉스(주) 분당사업장
329,SK하이닉스(주) 청주사업장
330,DL케미칼(주)HDPE공장
331,DL케미칼(주) 본사 사옥(돈의문센터)
332,DL케미칼(주)여수C4공장
333,DL케미칼(주)여수LHDPE공장
334,DL케미칼(주)여수PB공장
335,온세미컨덕터코리아(주)
336,한화토탈(주)
337,(주)한독 음성공장
338,한온시스템(주) 대전공장
339,한온시스템(주) 평택공장
340,한온시스템(주)_울산공장
341,볼보그룹코리아(주)
342,롯데이네오스화학
343,도레이첨단소재(주)
344,도레이첨단소재(주)_구미2공장
345,도레이첨단소재(주)_구미5공장
346,도레이첨단소재(주)_안성공장
347,도레이첨단소재(주)_유구공장
348,도레이첨단소재(주)구미1공장
349,도레이첨단소재(주)구미4공장
350,도레이첨단소재(주)군산공장
351,(주)국순당 횡성공장
352,(주)DB하이텍 부천공장
353,(주)DB하이텍 상우공장
354,동서석유화학(주)
355,서울우유협동조합 안산공장
356,서울우유협동조합 거창공장
357,서울우유협동조합 양주신공장
358,(주)엠에스씨
359,(주)디비메탈
360,(주)디비메탈 동해공장
361,르노코리아자동차 주식회사(부산공장)
362,르노코리아자동차 기흥연구소
363,르노코리아자동차 영업본부
364,한국타이어앤테크놀로지(주) 본사
365,한국타이어앤테크놀로지(주) 금산공장
366,한국타이어앤테크놀로지(주) 대전공장
367,한국타이어앤테크놀로지(주) 생산기술연구소
368,한국테크노돔
369,넥센타이어(주) 양산공장
370,넥센타이어(주) 창녕공장
371,SK케미칼(본사)
372,SK케미칼 울산
373,SK케미칼 청주
374,에이치디현대인프라코어 인천공장
375,에이치디현대인프라코어 군산공장
376,영화금속(주)
377,영화금속(주)_함안공장
378,영화금속(주)제2공장
379,현대제철
380,현대제철 당진제철소
381,현대제철 순천공장
382,현대제철 예산2공장
