기준연도,기업기관명,투자총액,check,회사명,거래소코드,회계년도,통계청_한국표준산업분류_코드_10차_중분류,통계청_한국표준산업분류_코드_10차_대분류,보통주,종가_원,부채_천원,자산_천원,당기순이익_순손실_천원,매출액_영업수익_천원,TQ,SIZE,ROA,LEV,당기매출액,전기매출액,기말총자산,GROWTH
2011,LS산전,0,0,LS일렉트릭(주),10120, 2011,28,28,30000000,66500,875515368,1623026422,58827629,1402034913,1229.7245986350308,21.20755840507525,0.03624563851986385,0.5394338355386306,1402034913,1409828572,1623026422,-0.004801929835742378
2011,넥센타이어,91000000,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2011,한일현대시멘트,0,0,한일현대시멘트(주),6390, 2011,23,23,7344000,5880,495960368,604236689,-76036519,269201819,72.28736877975312,20.219476548343703,-0.12583896407521855,0.8208047889657359,269201819,239494902,604236689,0.04916437141406354
2011,대덕지디에스,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2011,금호타이어,0,0,금호타이어(주),73240, 2011,22,22,106357121,10400,2652273639,3346527633,106114927,3247967259,331.31844515655314,21.93118911775461,0.03170896482479456,0.7925449689540932,3247967259,2701990231,3346527633,0.1631473239952177
2011,한국바스프,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2011,두산에너빌리티,2350700000,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2011,CJ제일제당,0,0,씨제이제일제당(주),97950, 2011,10,10,13078897,289500,3634720463,6084055736,158547759,4421058360,622.9356808053739,22.528937372379733,0.026059550714148817,0.597417351306132,4421058360,3962652400,6084055736,0.0753454570259052
2011,롯데정밀화학,0,0,롯데정밀화학(주),4000, 2011,20,20,25800000,61000,313939039,1399557927,73798524,1333619886,1124.7222488412228,21.05942225727434,0.052729881755012205,0.2243130012295661,1333619886,1130032299,1399557927,0.14546563816504324
2011,엘지화학,234250000000,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2011,케이지이티에스,0,0,케이지이티에스(주),151860, 2011,20,20,1802376,null,98108726,169820181,5751604,44843322,0.5777212426831649,18.950250676369336,0.03386878971704782,0.5777212426831649,44843322,36215109,169820181,0.05080793666095551
2011,깨끗한나라,3565000000,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2011,한독,0,0,(주)한독,2390, 2011,21,21,11600000,12200,129759056,408095578,16573866,332903154,347.0994705460886,19.827011964737814,0.04061270666353557,0.3179624161475232,332903154,321036497,408095578,0.029078131789999448
2011,현대하이스코,2962500000,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2011,현대중공업,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2011,현대미포조선,0,0,(주)현대미포조선,10620, 2011,31,31,20000000,112000,2309118423,5520988909,227864445,4173777473,406.1426594731455,22.431822831371097,0.041272396803505335,0.4182436264698535,4173777473,3739174099,5520988909,0.07871839287551084
2011,현대오일뱅크,4900000000,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2011,고려아연,17372280000,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2011,매일유업,537000000,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2011,한전원자력연료,0,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2011,CJ제일제당,1707400000,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2011,하이호경금속,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2011,송원산업,0,0,송원산업(주),4430, 2011,20,20,24000000,9260,572379000,838983000,7791000,597492000,265.5743668226889,20.547701002009273,0.00928624298704503,0.682229556498761,597492000,556162083,838983000,0.04926192425829844
2011,한국항공우산업,0,0,한국항공우주산업(주),47810, 2011,31,31,97475107,39550,909307256,1755769881,75900459,1285657361,2196.2159340094067,21.286173276305377,0.043229161077060305,0.5178966024192779,1285657361,1266710956,1755769881,0.01079093861047956
2011,포스코퓨처엠,240000000,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2011,에이치디현대중공업,0,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2011,엘에스전선,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2011,DL케미칼,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2011,국순당,0,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2011,지에스칼텍스,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2011,삼표시멘트,0,0,(주)삼표시멘트,38500, 2011,23,23,127807684,2275,897857492,1444542215,-83929491,544473358,201.90502954044857,21.09105830208874,-0.058101099523768504,0.6215515771548428,544473358,482274119,1444542215,0.04305809712871562
2011,효성,0,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2011,롯데정밀화학,0,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2011,세방전지,0,0,세방전지(주),4490, 2011,28,28,14000000,43950,222215306,712634498,105374946,953871595,863.7277833636396,20.384479221415237,0.14786674837624827,0.3118222688119149,953871595,790200174,712634498,0.22967092030955819
2011,테크팩솔루션,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2011,서울우유협동조합,0,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2011,대한제당,0,0,대한제당(주),1790, 2011,10,10,7508720,23950,608477006,1020285652,6349464,1243820378,176.8547079460449,20.743348476016028,0.006223221886491843,0.5963790677711108,1243820378,1167232641,1020285652,0.07506499464132423
2011,한국화이바,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2011,도레이첨단소재,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2011,한국엔지니어링플라스틱,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2011,크나우프석고보드,15500000,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2011,미래페이퍼,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
2011,태봉광업,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
