,cp_name,url
0,라이온코리아(주),https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=00000000000000095365&CUST_ID=00000000000000095365&OPEN_YN=Y
1,삼성전기(주) 수원사업장,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=00000000000000095371&CUST_ID=00000000000000095371&OPEN_YN=Y
2,삼성전기(주) 부산사업장,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=00000000000000292973&CUST_ID=00000000000000095371&OPEN_YN=Y
3,삼성전기(주) 세종사업장,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=00000000000000285837&CUST_ID=00000000000000095371&OPEN_YN=Y
4,(주)한독 음성공장,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=00000000000000095441&CUST_ID=00000000000000095441&OPEN_YN=Y
5,(주)풍산,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=00000000000000146196&CUST_ID=00000000000000146196&OPEN_YN=Y
6,(주)풍산 안강사업장,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=00000000000000147744&CUST_ID=00000000000000146196&OPEN_YN=Y
7,(주)풍산 울산사업장,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=00000000000000147743&CUST_ID=00000000000000146196&OPEN_YN=Y
8,현대자동차(주) 본사,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=00000000000000171049&CUST_ID=00000000000000171049&OPEN_YN=Y
9,현대자동차 서비스센터,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=00000000000000193826&CUST_ID=00000000000000171049&OPEN_YN=Y
10,현대자동차 아산공장,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=00000000000000193567&CUST_ID=00000000000000171049&OPEN_YN=Y
11,현대자동차 연구시설,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=00000000000000193696&CUST_ID=00000000000000171049&OPEN_YN=Y
12,현대자동차 울산공장,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=00000000000000193497&CUST_ID=00000000000000171049&OPEN_YN=Y
13,현대자동차 전주공장,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=00000000000000193604&CUST_ID=00000000000000171049&OPEN_YN=Y
14,(주)필맥스,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=00000000000000171461&CUST_ID=00000000000000171461&OPEN_YN=Y
15,롯데알미늄 본사,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=00000000000000174044&CUST_ID=00000000000000174044&OPEN_YN=Y
16,롯데알미늄 안산1공장,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=00000000000000492527&CUST_ID=00000000000000174044&OPEN_YN=Y
17,롯데알미늄 진천공장,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=00000000000000173919&CUST_ID=00000000000000174044&OPEN_YN=Y
18,롯데알미늄 평택공장,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=00000000000000492539&CUST_ID=00000000000000174044&OPEN_YN=Y
19,LG이노텍 본사,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=00000000000000179377&CUST_ID=00000000000000179377&OPEN_YN=Y
20,LG이노텍 광주사업장,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=00000000000000191484&CUST_ID=00000000000000179377&OPEN_YN=Y
21,"LG이노텍 구미 2,3사업장",https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=00000000000000186962&CUST_ID=00000000000000179377&OPEN_YN=Y
22,"LG이노텍 구미1,1A사업장",https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=00000000000000196111&CUST_ID=00000000000000179377&OPEN_YN=Y
23,LG이노텍 마곡R&D캠퍼스,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=CM000000000000001738&CUST_ID=00000000000000179377&OPEN_YN=Y
24,LG이노텍 안산R&D캠퍼스,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=00000000000000187257&CUST_ID=00000000000000179377&OPEN_YN=Y
25,LG이노텍 파주사업장,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=00000000000000193114&CUST_ID=00000000000000179377&OPEN_YN=Y
26,LG이노텍 평택사업장,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=CM000000000000001737&CUST_ID=00000000000000179377&OPEN_YN=Y
27,LG이노텍_구미4(C4) 사업장,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=CM000000000000002080&CUST_ID=00000000000000179377&OPEN_YN=Y
28,기아 주식회사,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=00000000000000185725&CUST_ID=00000000000000185725&OPEN_YN=Y
29,기아 주식회사 광명공장,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=00000000000000314222&CUST_ID=00000000000000185725&OPEN_YN=Y
30,기아 주식회사 광주완성차공장,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=00000000000000284591&CUST_ID=00000000000000185725&OPEN_YN=Y
31,기아 주식회사 광주하남공장,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=00000000000000285008&CUST_ID=00000000000000185725&OPEN_YN=Y
32,기아 주식회사 화성공장,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=00000000000000241708&CUST_ID=00000000000000185725&OPEN_YN=Y
33,(주)유니드,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=00000000000000209658&CUST_ID=00000000000000209658&OPEN_YN=Y
34,(주)유니드-화학_울산공장 ,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=CM000000000000001342&CUST_ID=00000000000000209658&OPEN_YN=Y
35,한화솔루션(주),https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=00000000000000250962&CUST_ID=00000000000000250962&OPEN_YN=Y
36,한화솔루션(주) 여수,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=00000000000000267591&CUST_ID=00000000000000250962&OPEN_YN=Y
37,한화솔루션(주) 여수2,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=CM000000000000002460&CUST_ID=00000000000000250962&OPEN_YN=Y
38,한화솔루션(주) 울산1,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=00000000000000263274&CUST_ID=00000000000000250962&OPEN_YN=Y
39,한화솔루션(주) 울산2,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=00000000000000268201&CUST_ID=00000000000000250962&OPEN_YN=Y
40,한화솔루션(주) 울산3,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=00000000000000266444&CUST_ID=00000000000000250962&OPEN_YN=Y
41,한화솔루션(주) 중앙연구소,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=00000000000000272465&CUST_ID=00000000000000250962&OPEN_YN=Y
42,한화솔루션(주) 티디아이,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=CM000000000000001498&CUST_ID=00000000000000250962&OPEN_YN=Y
43,한화솔루션㈜ 음성 제2사업장,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=CM000000000000002532&CUST_ID=00000000000000250962&OPEN_YN=Y
44,한화솔루션㈜ 진천사업장,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=CM000000000000002531&CUST_ID=00000000000000250962&OPEN_YN=Y
45,주식회사 전주페이퍼 (전주),https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=00000000000000300696&CUST_ID=00000000000000300696&OPEN_YN=Y
46,고려아연(주),https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=00000000000000506858&CUST_ID=00000000000000506858&OPEN_YN=Y
47,고려아연(주)온산제련소,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=00000000000000511673&CUST_ID=00000000000000506858&OPEN_YN=Y
48,현대위아(주) 창원1공장,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=CM000000000000001384&CUST_ID=CM000000000000001384&OPEN_YN=Y
49,현대위아(주) 광주공장,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=CM000000000000001399&CUST_ID=CM000000000000001384&OPEN_YN=Y
50,현대위아(주) 서산공장,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=CM000000000000001400&CUST_ID=CM000000000000001384&OPEN_YN=Y
51,현대위아(주) 안산1공장,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=CM000000000000001396&CUST_ID=CM000000000000001384&OPEN_YN=Y
52,현대위아(주) 안산2공장,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=CM000000000000001397&CUST_ID=CM000000000000001384&OPEN_YN=Y
53,현대위아(주) 울산1공장,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=CM000000000000001403&CUST_ID=CM000000000000001384&OPEN_YN=Y
54,현대위아(주) 울산3공장,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=CM000000000000001404&CUST_ID=CM000000000000001384&OPEN_YN=Y
55,현대위아(주) 의왕연구소,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=CM000000000000001405&CUST_ID=CM000000000000001384&OPEN_YN=Y
56,현대위아(주) 창원2공장,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=CM000000000000001394&CUST_ID=CM000000000000001384&OPEN_YN=Y
57,현대위아(주) 창원4공장,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=CM000000000000001395&CUST_ID=CM000000000000001384&OPEN_YN=Y
58,현대위아(주) 창원5공장,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=CM000000000000001426&CUST_ID=CM000000000000001384&OPEN_YN=Y
59,현대위아(주) 평택공장,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=CM000000000000001398&CUST_ID=CM000000000000001384&OPEN_YN=Y
60,현대위아(주)창원3공장,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=00000000000000577935&CUST_ID=CM000000000000001384&OPEN_YN=Y
61,(주)어프로티움 울산 1공장,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=CM000000000000001497&CUST_ID=CM000000000000001497&OPEN_YN=Y
62,(주)어프로티움 서산공장,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=CM000000000000001500&CUST_ID=CM000000000000001497&OPEN_YN=Y
63,(주)어프로티움 울산 2공장,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=CM000000000000000458&CUST_ID=CM000000000000001497&OPEN_YN=Y
64,LS ELECTRIC 본사,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=CM000000000000002747&CUST_ID=CM000000000000002747&OPEN_YN=Y
65,LS일렉트릭 부산공장,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=CM000000000000001347&CUST_ID=CM000000000000002747&OPEN_YN=Y
66,LS일렉트릭 천안사업장,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=CM000000000000001346&CUST_ID=CM000000000000002747&OPEN_YN=Y
67,LS일렉트릭 청주사업장,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=00000000000000095305&CUST_ID=CM000000000000002747&OPEN_YN=Y
68,(주)오뚜기센터,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=CM000000000000002922&CUST_ID=CM000000000000002922&OPEN_YN=Y
69,(주)오뚜기 대풍공장,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=00000000000001330553&CUST_ID=CM000000000000002922&OPEN_YN=Y
70,(주)오뚜기 삼남공장,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=CM000000000000002840&CUST_ID=CM000000000000002922&OPEN_YN=Y
71,(주)오뚜기 안양공장,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=CM000000000000001517&CUST_ID=CM000000000000002922&OPEN_YN=Y
72,(주)오뚜기 포승공장,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=CM000000000000002843&CUST_ID=CM000000000000002922&OPEN_YN=Y
73,재원산업,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=CT000000000000002739&CUST_ID=CT000000000000002739&OPEN_YN=Y
74,해태htb(주)천안공장,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=CT000000000000004854&CUST_ID=CT000000000000004854&OPEN_YN=Y
75,(주)풍정주공 본사,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=CT000000000000008146&CUST_ID=CT000000000000008146&OPEN_YN=Y
76,이녹스첨단소재,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=CT000000000000025633&CUST_ID=CT000000000000025633&OPEN_YN=Y
77,에이치디현대일렉트릭(주),https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=CT000000000000025718&CUST_ID=CT000000000000025718&OPEN_YN=Y
78,에이치디현대일렉트릭(주) 선암공장,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=CM000000000000001862&CUST_ID=CT000000000000025718&OPEN_YN=Y
79,(주)한영특수강,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=CT000000000000040581&CUST_ID=CT000000000000040581&OPEN_YN=Y
80,한국앤컴퍼니(주),https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=CT000000000000054016&CUST_ID=CT000000000000054016&OPEN_YN=Y
81,한국앤컴퍼니(주) 대전공장,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=CM000000000000003032&CUST_ID=CT000000000000054016&OPEN_YN=Y
82,한국앤컴퍼니(주) 전주공장,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=CM000000000000003033&CUST_ID=CT000000000000054016&OPEN_YN=Y
83,(주)원익아이피에스,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=CT000000000000054091&CUST_ID=CT000000000000054091&OPEN_YN=Y
84,삼화페인트공업(주) 대표사업,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=CT000000000000057996&CUST_ID=CT000000000000057996&OPEN_YN=Y
85,(주)지씨셀,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=CT000000000000058021&CUST_ID=CT000000000000058021&OPEN_YN=Y
86,(주)동인섬유,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2022&COMP_ID=CT000000000000058022&CUST_ID=CT000000000000058022&OPEN_YN=Y
87,한국지엠(주) 부평공장 (본사),https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2021&COMP_ID=00000000000000095296&CUST_ID=00000000000000095296&OPEN_YN=Y
88,한국지엠(주) 보령공장,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2021&COMP_ID=00000000000000258028&CUST_ID=00000000000000095296&OPEN_YN=Y
89,한국지엠(주) 창원공장,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2021&COMP_ID=00000000000000257726&CUST_ID=00000000000000095296&OPEN_YN=Y
90,ROHMKOREA 대전공장,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2021&COMP_ID=00000000000000095297&CUST_ID=00000000000000095297&OPEN_YN=Y
91,롯데정밀화학(주),https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2021&COMP_ID=00000000000000095300&CUST_ID=00000000000000095300&OPEN_YN=Y
92,롯데정밀화학(주) 인천,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2021&COMP_ID=00000000000000362685&CUST_ID=00000000000000095300&OPEN_YN=Y
93,(주)휴비스 전주공장,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2021&COMP_ID=00000000000000095311&CUST_ID=00000000000000095311&OPEN_YN=Y
94,(주)휴비스,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2021&COMP_ID=00000000000000543355&CUST_ID=00000000000000095311&OPEN_YN=Y
95,코카콜라음료(주) 여주공장,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2021&COMP_ID=00000000000000095314&CUST_ID=00000000000000095314&OPEN_YN=Y
96,코카콜라음료(주) 광주공장,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2021&COMP_ID=CM000000000000001531&CUST_ID=00000000000000095314&OPEN_YN=Y
97,삼성전자(주) 수원사업장,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2021&COMP_ID=00000000000000095329&CUST_ID=00000000000000095329&OPEN_YN=Y
98,삼성전자(주) CS아카데미,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2021&COMP_ID=00000000000000508246&CUST_ID=00000000000000095329&OPEN_YN=Y
99,삼성전자(주) SAIT,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2021&COMP_ID=00000000000000508175&CUST_ID=00000000000000095329&OPEN_YN=Y
100,삼성전자(주) 광주2사업장,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2021&COMP_ID=00000000000000348671&CUST_ID=00000000000000095329&OPEN_YN=Y
101,삼성전자(주) 구미사업장,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2021&COMP_ID=00000000000000348736&CUST_ID=00000000000000095329&OPEN_YN=Y
102,삼성전자(주) 기흥사업장,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2021&COMP_ID=00000000000000347978&CUST_ID=00000000000000095329&OPEN_YN=Y
103,삼성전자(주) 서울R&D,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2021&COMP_ID=CM000000000000000374&CUST_ID=00000000000000095329&OPEN_YN=Y
104,삼성전자(주) 서울대공동연구소,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2021&COMP_ID=CM000000000000002015&CUST_ID=00000000000000095329&OPEN_YN=Y
105,삼성전자(주) 서초사옥,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2021&COMP_ID=00000000000000508215&CUST_ID=00000000000000095329&OPEN_YN=Y
106,삼성전자(주) 온양사업장,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2021&COMP_ID=00000000000000348376&CUST_ID=00000000000000095329&OPEN_YN=Y
107,삼성전자(주) 인재개발원,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2021&COMP_ID=CM000000000000000035&CUST_ID=00000000000000095329&OPEN_YN=Y
108,삼성전자(주) 천안사업장(TP),https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2021&COMP_ID=00000000000001118709&CUST_ID=00000000000000095329&OPEN_YN=Y
109,삼성전자(주) 평택사업장,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2021&COMP_ID=CM000000000000001312&CUST_ID=00000000000000095329&OPEN_YN=Y
110,삼성전자(주) 하남사업장,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2021&COMP_ID=00000000000000348607&CUST_ID=00000000000000095329&OPEN_YN=Y
111,삼성전자(주) 화성사업장,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2021&COMP_ID=CM000000000000001362&CUST_ID=00000000000000095329&OPEN_YN=Y
112,(주)엘엑스엠엠에이,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2021&COMP_ID=00000000000000095338&CUST_ID=00000000000000095338&OPEN_YN=Y
113,(주)엘엑스엠엠에이 MMA2공장,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2021&COMP_ID=00000000000000520654&CUST_ID=00000000000000095338&OPEN_YN=Y
114,(주)엘엑스엠엠에이 피엠엠에이,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2021&COMP_ID=00000000000000264696&CUST_ID=00000000000000095338&OPEN_YN=Y
115,셰플러코리아 유한책임회사 창원1공장,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2021&COMP_ID=00000000000000095339&CUST_ID=00000000000000095339&OPEN_YN=Y
116,셰플러코리아 유한책임회사 전주공장,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2021&COMP_ID=00000000000001117505&CUST_ID=00000000000000095339&OPEN_YN=Y
117,셰플러코리아 유한책임회사 창원2공장,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2021&COMP_ID=00000000000001117484&CUST_ID=00000000000000095339&OPEN_YN=Y
118,셰플러코리아 유한책임회사 창원3공장,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2021&COMP_ID=00000000000001117500&CUST_ID=00000000000000095339&OPEN_YN=Y
119,한화임팩트주식회사 울산사업장,https://www.env-info.kr//user/register/viewUserSearch2.do?YEAR=2021&COMP_ID=00000000000000095360&CUST_ID=00000000000000095360&OPEN_YN=Y
